项目编码,项目名称,专业,分包类型,产值
U_ORG_XM_AJALMT01,埃及阿拉曼新城超高综合体项目T01标段,机电,指定,0
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,机电,指定,0
U_ORG_XM_ASJGS,鞍山市公安局监管场所新建,机电,指定,0
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,机电,指定,-1313859.29
U_ORG_XM_BDKYL,北京大学教学科研楼,机电,指定,1223518.6
U_ORG_XM_BJAZKYL,北京A座科研楼,机电,指定,0
U_ORG_XM_BJCBDSYJR,北京市CBD核心区Z2b地块商业金融,机电,指定,0
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,机电,指定,0
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,机电,指定,5991458.76
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,机电,指定,2679295.92
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,机电,指定,0
U_ORG_XM_BJHQGYDJQ,北京环球度假区,机电,指定,0
U_ORG_XM_BJHQNYZX,北京环球能源中心,机电,指定,0
U_ORG_XM_BJHQZTGY,北京环球主题公园,机电,指定,16382578.06
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,机电,指定,0
U_ORG_XM_BJJCBDT,北京精测半导体设备及准分子激光器,机电,指定,0
U_ORG_XM_BJJCDLEQ,北京集成电路标准厂房(二期),机电,指定,0
U_ORG_XM_BJJGMBGLGJ,北京建国门办公楼改建工程,机电,指定,0
U_ORG_XM_BJKTDX,北京凯特大厦,机电,指定,0
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],机电,指定,0
U_ORG_XM_BJNHHS,北京新机场南航航空食品设施,机电,指定,0
U_ORG_XM_BJPAE05DK,北京平安金融中心E05地块,机电,指定,3089709.49
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,机电,指定,1027132.72
U_ORG_XM_BJSYMTZ,北京顺义马头庄,机电,指定,0
U_ORG_XM_BJTKSQ,北京泰康之家燕园三期,机电,指定,11541960.24
U_ORG_XM_BJWJBGLSQ,北京望京办公楼三期,机电,指定,1572172.99
U_ORG_XM_BJWKQXS,北京万科七橡墅,机电,指定,0
U_ORG_XM_BJWLCXXZB,北京未来城学校总承包,机电,指定,28364546.69
U_ORG_XM_BJXHBX,北京新华保险大厦改造,机电,指定,0
U_ORG_XM_BJXSJDAZF,北京香山军队安置房,机电,指定,0
U_ORG_XM_BJXYDHLWJD,北京新一代互联网云计算产创基地机电,机电,指定,0
U_ORG_XM_BJYABGZX,北京永安宾馆装修,机电,指定,0
U_ORG_XM_BJYCCF,北京盈创2#厂房等5项,机电,指定,0
U_ORG_XM_BJYYYH,北京远洋瀛海,机电,指定,181209.64
U_ORG_XM_BJZ12TKJD,北京Z12泰康大厦机电工程,机电,指定,364434.19
U_ORG_XM_BJZCCF,北京中钞厂房,机电,指定,5360816.79
U_ORG_XM_BJZGYD,北京中国移动博瑞琪大厦装修改造,机电,指定,0
U_ORG_XM_BJZSJD,北京招商嘉铭酒店,机电,指定,0
U_ORG_XM_BJZSJM,北京嘉铭珑原07-01办公商业,机电,指定,0
U_ORG_XM_BQDLZCJD,北汽动力总成基地项目（一期）二标段,机电,指定,0
U_ORG_XM_BQSTLGZF,北京顺义新城第4街区保障性住房,机电,指定,7570668.84
U_ORG_XM_BZDERMYY,山东滨州第二人民医院西院区,机电,指定,0
U_ORG_XM_CDCHQSPZZ,成都成华区跳蹬河南路9号新建商品住宅项目一期,机电,指定,0
U_ORG_XM_CDCHQSPZZSQ,成都成华区跳蹬河南路9号新建商品住宅项目三期,机电,指定,0
U_ORG_XM_CDDJBX,成都大家保险金融广场机电,机电,指定,0
U_ORG_XM_CDJDFGYZX,成都京东方AMOLED工艺技术测试中心,机电,指定,0
U_ORG_XM_CDJSLGZ,成都成华区建设路提升改造,机电,指定,0
U_ORG_XM_CDLTGC,成都乐天广场,机电,指定,0
U_ORG_XM_CDPJSQZHT,成都蒲江鹤山街道办社区综合体,机电,指定,0
U_ORG_XM_CDSLZHKF,成都双流TOD综合开发,机电,指定,0
U_ORG_XM_CDTHTFLZX,成都泰和泰国际法律服务中心,机电,指定,0
U_ORG_XM_CDZGSF,成都中国商飞民机示范产业园二期,机电,指定,4399286.81
U_ORG_XM_CDZJTD,成都字节跳动办公楼,机电,指定,0
U_ORG_XM_CDZYFSYY,成都中医大附属第二医院,机电,指定,0
U_ORG_XM_CDZYFSYYFZ,成都中医大附属第二医院(发展),机电,指定,0
U_ORG_XM_CZJC,常州精测新能源智能装备生产,机电,指定,0
U_ORG_XM_DGOPPOJD,东莞OPPO滨海湾数据中心机电,机电,指定,0
U_ORG_XM_DLGWJ,大连港湾街二号地块,机电,指定,0
U_ORG_XM_DTZLDSJ,大同中联绿色大数据产业基地,机电,指定,0
U_ORG_XM_DXJCZSQAZF,北京大兴国际机场噪声区安置房,机电,指定,0
U_ORG_XM_FDSDJD,福鼎时代锂离子电池生产基地机电,机电,指定,0
U_ORG_XM_FJJHCCQSCX,福建省晋华集成电路有限公司存储器生产线,机电,指定,1016023.47
U_ORG_XM_FSJRJSS,佛山金融街三水,机电,指定,0
U_ORG_XM_FZJDFJD,福州第8.5代新型半导体显示器件生产线机电,机电,指定,0
U_ORG_XM_GDHYSQ,广东阿里巴巴云计算数据中心河源源城区三期项目,机电,指定,7360275.22
U_ORG_XM_GDHYSQJD,广东阿里巴巴云计算数据中心河源源城区三期机电,机电,指定,0
U_ORG_XM_GMDLGZ,北京国贸东楼改造及交通一体化,机电,指定,0
U_ORG_XM_GRGCJD,北京国锐广场机电,机电,指定,0
U_ORG_XM_GYWK,贵阳万科劲嘉大都会商业综合体,机电,指定,0
U_ORG_XM_GZALBB,广州阿里巴巴华南运营中心,机电,指定,0
U_ORG_XM_GZCSJFZ,广州超视堺第10.5代TFT-LCD显示器件生产线（发展）,机电,指定,0
U_ORG_XM_GZWXNJD,广州维信诺第6代柔性AMOLED模组生产线机电,机电,指定,0
U_ORG_XM_GZYXBDT,广州粤芯半导体,机电,指定,0
U_ORG_XM_HAXJCF,淮安第三园区新建厂房,机电,指定,0
U_ORG_XM_HBXAWKSYS,河北雄安新区万科实验室,机电,指定,0
U_ORG_XM_HEBSZCYY,哈尔滨深圳产业园科创总部,机电,指定,0
U_ORG_XM_HFHYYQJD,合肥泰康之家徽园一期机电,机电,指定,0
U_ORG_XM_HFJDFSDWD,合肥京东方第10.5代薄膜晶体管液晶显示器件（TFT-LCD）,机电,指定,0
U_ORG_XM_HFLKDZXXCF,合肥蓝科电子信息厂房,机电,指定,0
U_ORG_XM_HFYJCLCJFZ,合肥邮件处理车间（发展）,机电,指定,0
U_ORG_XM_HFZJCF,合肥整机智能制造生产线,机电,指定,0
U_ORG_XM_HHHTKDJD,呼和浩特凯德广场·诺和木勒改造项目机电,机电,指定,0
U_ORG_XM_HNTZDS,北京湖南投资大厦,机电,指定,0
U_ORG_XM_HZALDDZB,杭州阿里钉钉总部,机电,指定,0
