项目编码,项目名称,专业,分包类型,产值
,,机电,指定,0
U_ORG_XM_AHWHYJSYY,安徽芜湖皖南医学院弋矶山医院,机电,指定,0
U_ORG_XM_AHZWCF,安徽忠旺厂房,机电,指定,0
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,机电,指定,0
U_ORG_XM_ALBBXBJD,成都阿里巴巴西部基地,机电,指定,0
U_ORG_XM_ALBBXBJDFZ,阿里巴巴西部基地总承包工程(发展),机电,指定,0
U_ORG_XM_ASJGS,鞍山市公安局监管场所新建,机电,指定,0
U_ORG_XM_ASYZZHT,鞍山银座综合体,机电,指定,0
U_ORG_XM_BDDS,百度大厦,机电,指定,0
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,机电,指定,2898059.89
U_ORG_XM_BDGHYJS,北大光华研究院,机电,指定,0
U_ORG_XM_BDKYL,北京大学教学科研楼,机电,指定,13464169.49
U_ORG_XM_BDTSGGZ,北京大学图书馆改造,机电,指定,0
U_ORG_XM_BJAN4DGF,北京奥南4#地（股份）,机电,指定,0
U_ORG_XM_BJAZKYL,北京A座科研楼,机电,指定,0
U_ORG_XM_BJCBDSYJR,北京市CBD核心区Z2b地块商业金融,机电,指定,83236.78
U_ORG_XM_BJDCBGLGKJ,北京东城办公楼改扩建,机电,指定,2639019.64
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,机电,指定,0
U_ORG_XM_BJFSHFZYGY,北京房山华发中央公园,机电,指定,0
U_ORG_XM_BJFSLHXYTJ,北京房山龙湖熙悦天街,机电,指定,0
U_ORG_XM_BJFZDSZX,北京凤展大厦装修工程,机电,指定,0
U_ORG_XM_BJFZKYLJD,北京纺织科研楼实验楼机电,机电,指定,0
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,机电,指定,7731313.08
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,机电,指定,0
U_ORG_XM_BJGLYSQ03_31,北京高丽营三期03-31地块,机电,指定,0
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,机电,指定,4662526.15
U_ORG_XM_BJHLDS,北京华力国际大厦,机电,指定,0
U_ORG_XM_BJHPC,北京和平村,机电,指定,0
U_ORG_XM_BJHQDJQJT,北京环球度假区（集团）,机电,指定,0
U_ORG_XM_BJHQGYDJQ,北京环球度假区,机电,指定,20420178.01
U_ORG_XM_BJHQNYZX,北京环球能源中心,机电,指定,117963381.4
U_ORG_XM_BJHQZTGY,北京环球主题公园,机电,指定,24478858.25
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,机电,指定,17991659.35
U_ORG_XM_BJHSMZXGZ,北京火神庙商业中心改造,机电,指定,0
U_ORG_XM_BJJDRJY,北京金蝶软件园,机电,指定,0
U_ORG_XM_BJJGMBGLGJ,北京建国门办公楼改建工程,机电,指定,0
U_ORG_XM_BJKTDX,北京凯特大厦,机电,指定,0
U_ORG_XM_BJLFSGC,北京来福士广场,机电,指定,0
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],机电,指定,59473545.96
U_ORG_XM_BJNHHS,北京新机场南航航空食品设施,机电,指定,0
U_ORG_XM_BJODBSMZX,北京欧德宝商贸中心,机电,指定,0
U_ORG_XM_BJPAE05DK,北京平安金融中心E05地块,机电,指定,1632505.04
U_ORG_XM_BJQMCQGZ,北京前门B2B3地块重启后改造工程,机电,指定,0
U_ORG_XM_BJSKWKJD,北京首开万科天地机电,机电,指定,0
U_ORG_XM_BJSMYJSKJ,北京生命科学研究所扩建,机电,指定,4662507.83
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,机电,指定,0
U_ORG_XM_BJSYMTZ,北京顺义马头庄,机电,指定,1576186.91
U_ORG_XM_BJTGLGZ,北京太古里改造,机电,指定,2786018.77
U_ORG_XM_BJTLDYQ,北京天利德一期厂房,机电,指定,0
U_ORG_XM_BJWJBGLSQ,北京望京办公楼三期,机电,指定,1973896.44
U_ORG_XM_BJWKFCGYJD,北京万科翡翠公园机电,机电,指定,0
U_ORG_XM_BJWKQXS,北京万科七橡墅,机电,指定,0
U_ORG_XM_BJWKWX,北京万科望溪,机电,指定,0
U_ORG_XM_BJWKZYC,北京祥筑万科长阳中央城,机电,指定,0
U_ORG_XM_BJWLCXX,北京未来城学校,机电,指定,0
U_ORG_XM_BJXHBX,北京新华保险大厦改造,机电,指定,0
U_ORG_XM_BJXHFTFKT,北京西华府商办楼通风空调工程,机电,指定,0
U_ORG_XM_BJXJCGL,北京新机场道路及综合管廊,机电,指定,0
U_ORG_XM_BJXSJDAZF,北京香山军队安置房,机电,指定,3168062.36
U_ORG_XM_BJXXCXY,中国电信北京信息科技创新园工程,机电,指定,0
U_ORG_XM_BJXXCXYEQ,中国电信北京信息科技创新园科研数据中心,机电,指定,823761.46
U_ORG_XM_BJXYDHLWJD,北京新一代互联网云计算产创基地机电,机电,指定,0
U_ORG_XM_BJYABGZX,北京永安宾馆装修,机电,指定,862199.93
U_ORG_XM_BJYCCF,北京盈创2#厂房等5项,机电,指定,2736000.73
U_ORG_XM_BJYDHHHLJZL,北京永定河混合垃圾治理,机电,指定,0
U_ORG_XM_BJYYYH,北京远洋瀛海,机电,指定,1126481.2
U_ORG_XM_BJZ12TKJD,北京Z12泰康大厦机电工程,机电,指定,10994619.58
U_ORG_XM_BJZCCF,北京中钞厂房,机电,指定,9440608.98
U_ORG_XM_BJZSJD,北京招商嘉铭酒店,机电,指定,0
U_ORG_XM_BJZSJM,北京嘉铭珑原07-01办公商业,机电,指定,0
U_ORG_XM_BQDLZCJD,北汽动力总成基地项目（一期）二标段,机电,指定,0
U_ORG_XM_BQSTLGZF,北京顺义新城第4街区保障性住房,机电,指定,15222309.08
U_ORG_XM_BZDERMYY,山东滨州第二人民医院西院区,机电,指定,0
U_ORG_XM_BZGZSYXX,巴中光正实验学校,机电,指定,0
U_ORG_XM_BZSYLXQ,霸州市云庐小区住宅,机电,指定,0
U_ORG_XM_CDALBBJD,成都阿里巴巴西部基地四期机电,机电,指定,0
U_ORG_XM_CDCHQSPZZ,成都成华区跳蹬河南路9号新建商品住宅项目一期,机电,指定,0
U_ORG_XM_CDDTAZF,成都青白江区大同集中安置房(二期),机电,指定,0
U_ORG_XM_CDGJTLGZLZX,成都国际铁路港展览中心,机电,指定,0
U_ORG_XM_CDGYYHKT,成都贵阳银行成都分行空调改造,机电,指定,0
U_ORG_XM_CDHJSSJ,成都黄甲尚善居C区,机电,指定,0
U_ORG_XM_CDJDF6DX,成都京东方第6代生产线,机电,指定,0
U_ORG_XM_CDJDFCK,成都京东方第6代柔性AMOLED触控一体化显示器件,机电,指定,3162238.24
U_ORG_XM_CDJDFCKFZ,成都京东方第6代柔性AMOLED触控一体化显示器件（发展）,机电,指定,0
U_ORG_XM_CDJDFGYZX,成都京东方AMOLED工艺技术测试中心,机电,指定,852017.19
U_ORG_XM_CDJDFJD,成都京东方第6代生产线机电A标段,机电,指定,0
U_ORG_XM_CDJNRCGY,成都金牛人才公寓,机电,指定,0
U_ORG_XM_CDJTWFPPP,成都金堂县五凤镇新型城镇化PPP项目,机电,指定,0
U_ORG_XM_CDJTWFPPPJT,成都金堂县五凤镇新型城镇化PPP（集团）,机电,指定,0
U_ORG_XM_CDJXJC,成都锦绣江城EPC,机电,指定,0
U_ORG_XM_CDLTGC,成都乐天广场,机电,指定,34482724.81
U_ORG_XM_CDPJSQZHT,成都蒲江鹤山街道办社区综合体,机电,指定,0
U_ORG_XM_CDQBJPPPFJ,成都青白江区PPP·房建,机电,指定,0
U_ORG_XM_CDQBJPPPSZ,成都青白江区PPP·市政,机电,指定,0
U_ORG_XM_CDQBJPPPSZFZ,成都青白江区PPP·市政（发展）,机电,指定,0
U_ORG_XM_CDQXYG,成都千行云谷,机电,指定,0
U_ORG_XM_CDSJZAZF,成都青白江区大同集中安置房,机电,指定,0
U_ORG_XM_CDTDJD,成都泰达时代中心机电,机电,指定,0
U_ORG_XM_CDTFC,成都江宇天府城,机电,指定,0
U_ORG_XM_CDTKZJ,成都泰康之家蜀园项目一期,机电,指定,0
U_ORG_XM_CDWJQBLT,成都温江区BLT,机电,指定,0
U_ORG_XM_CDWJRX,成都温江区蓉西新城新居B区,机电,指定,0
U_ORG_XM_CDXDAZF,成都新都区成青苑及桂荷馨苑小区,机电,指定,0
U_ORG_XM_CDXJYBF,成都新津御宾府,机电,指定,0
U_ORG_XM_CDXXLJEQ,成都香榭林居二期,机电,指定,0
U_ORG_XM_CDYSDC,成都528艺术东村产业展示,机电,指定,0
U_ORG_XM_CDZG,成都紫光存储器制造基地,机电,指定,0
U_ORG_XM_CDZGSF,成都中国商飞民机示范产业园二期,机电,指定,0
U_ORG_XM_CDZHYHSY,成都中海·御湖世家,机电,指定,0
U_ORG_XM_CDZLLYJY,成都中粮·珑悦锦云,机电,指定,0
U_ORG_XM_CDZYFSYY,成都中医大附属第二医院,机电,指定,0
U_ORG_XM_CHOFG,巢湖欧菲光光学光电产业基地建设,机电,指定,0
U_ORG_XM_CPXQGZ,北京大学昌平新校区宿舍楼装修改造,机电,指定,0
U_ORG_XM_CQHFBJSJ,重庆华发·滨江四季,机电,指定,0
U_ORG_XM_CQHXZZ,重庆华熙LIVE·鱼洞住宅,机电,指定,0
U_ORG_XM_CQJDF6AMOLED,重庆京东方第6代AMOLED柔性生产线,机电,指定,259964303.2
U_ORG_XM_CQJDFJ,重庆京东方第8.5代半导体显示器件(局),机电,指定,0
U_ORG_XM_CQLJKGWLY,重庆两江空港物流园,机电,指定,0
U_ORG_XM_CQSKHLSEQ,重庆SK海力士二期,机电,指定,0
U_ORG_XM_CQTXEQ,重庆腾讯云计算中心二期,机电,指定,0
U_ORG_XM_CQTXEQXF,重庆腾讯云计算中心二期消防工程,机电,指定,0
U_ORG_XM_CQTXXF,重庆腾讯云计算中心一期消防工程,机电,指定,0
U_ORG_XM_CQTYZX,重庆巴南体育中心,机电,指定,0
U_ORG_XM_CQYCZCZGZN,重庆永川中船重工智能制造产业园,机电,指定,0
U_ORG_XM_CQYDTYG,重庆华熙LIVE·鱼洞体育馆,机电,指定,0
U_ORG_XM_CQYSCN,重庆亚士创能长寿综合制造基地,机电,指定,0
U_ORG_XM_CYJZQ,北京常营大型居住区三期,机电,指定,0
U_ORG_XM_CYMSHJC,北京朝阳门SOHO中心南区商业加层,机电,指定,0
U_ORG_XM_CYMSOHOSQ,银河搜候中心（朝阳门SOHO三期）,机电,指定,0
U_ORG_XM_CZHK,滁州惠科第8.6代薄膜晶体管液晶显示器件,机电,指定,0
U_ORG_XM_CZQLDXF,常州青龙西路定销房,机电,指定,0
U_ORG_XM_D11DTFT_SZHXGD11D,深圳华星光电第11代TFT-LCD及AMOLED新型显示器件,机电,指定,0
U_ORG_XM_DGHWSYS,东莞华为研发实验室一期,机电,指定,0
U_ORG_XM_DGXTC,东莞小天才生产中心,机电,指定,0
U_ORG_XM_DLGWJ,大连港湾街二号地块,机电,指定,0
