项目编码,项目名称,专业,分包类型,产值
U_ORG_XM_DLXHW,大连星海湾壹号二期,机电,指定,0
U_ORG_XM_DQBYNKDX,大庆市八一农垦大学基础教学实验楼,机电,指定,0
U_ORG_XM_DQYGLQLHJJGC,大庆豫港龙泉铝合金加工材,机电,指定,0
U_ORG_XM_DTSDWRMYY,大同市第五人民医院,机电,指定,0
U_ORG_XM_DTZLDSJ,大同中联绿色大数据产业基地,机电,指定,0
U_ORG_XM_DWLZCZF,西大望路政策性住房,机电,指定,0
U_ORG_XM_DXJCZSQAZF,北京大兴国际机场噪声区安置房,机电,指定,10242280.61
U_ORG_XM_DXKAZFJZHZZ,北京东小口安置住房及综合整治,机电,指定,0
U_ORG_XM_DXZBDQ,北京大兴17#地项目（东区）,机电,指定,0
U_ORG_XM_DXZBXQ,大兴17#地项目总承包工程（西区）,机电,指定,0
U_ORG_XM_DYDWDYMYY,德阳市人民医院城北第五代医院,机电,指定,0
U_ORG_XM_EEDSYSGD,鄂尔多斯源盛光电第5.5代AM-OLED,机电,指定,0
U_ORG_XM_FJ6AMOLED,福州第6代AMOLED柔性生产线,机电,指定,0
U_ORG_XM_FJJHCCQSCX,福建省晋华集成电路有限公司存储器生产线,机电,指定,6105848.68
U_ORG_XM_FSJHGCEQ,佛山捷和广场二期,机电,指定,0
U_ORG_XM_FSJRJRCHY,佛山金融街融辰花园,机电,指定,0
U_ORG_XM_FSJRJSD,佛山金融街顺德陈村,机电,指定,0
U_ORG_XM_FSJRJSS,佛山金融街三水,机电,指定,0
U_ORG_XM_FSJXLJHY,佛山建鑫乐家花园,机电,指定,0
U_ORG_XM_FSLC,佛山绿城,机电,指定,0
U_ORG_XM_FSLQG,佛山国际体育文化演艺中心,机电,指定,0
U_ORG_XM_FSLSHLYZL,佛山市南海区里水河流域治理,机电,指定,0
U_ORG_XM_FSSDGZSYXX,佛山顺德光正实验学校,机电,指定,0
U_ORG_XM_FSSDYXQ,佛山市东亚项目西区EPC,机电,指定,0
U_ORG_XM_FSYCZD,佛山怡翠尊堤嘉园D2区,机电,指定,0
U_ORG_XM_FSYGBJSQGZ,佛山市原干部家属区部分政府旧物业修缮改造,机电,指定,0
U_ORG_XM_FXMNWGQ,复兴门内危改区4·2号地项目空调系统工程,机电,指定,0
U_ORG_XM_FZJDF,福州第8.5代新型半导体显示器件生产线,机电,指定,0
U_ORG_XM_FZJDFJD,福州第8.5代新型半导体显示器件生产线机电,机电,指定,0
U_ORG_XM_GCBS38DK,北京观承别墅03-38地块二标段,机电,指定,0
U_ORG_XM_GDGSZYXY,广东工商职业学院体育馆·图书馆,机电,指定,0
U_ORG_XM_GDHYAL,广东阿里巴巴云计算数据中心河源源城区项目,机电,指定,0
U_ORG_XM_GDHYALEQ,广东阿里巴巴云计算数据中心河源源城区二期项目,机电,指定,0
U_ORG_XM_GDHYSQJD,广东阿里巴巴云计算数据中心河源源城区三期机电,机电,指定,0
U_ORG_XM_GDXNY,国电新能源技术研究院工程,机电,指定,0
U_ORG_XM_GJCYZX,国际财源中心西塔,机电,指定,0
U_ORG_XM_GJNYQXZX,国际农业科技创新中心,机电,指定,0
U_ORG_XM_GJYYZXGZ,国家游泳中心改造,机电,指定,0
U_ORG_XM_GJYYZXGZEQ,北京国家游泳中心改造二期,机电,指定,0
U_ORG_XM_GLWDLYC,桂林万达文化旅游城（华侨农场地块）,机电,指定,0
U_ORG_XM_GMDLGZ,北京国贸东楼改造及交通一体化,机电,指定,0
U_ORG_XM_GMSQ,国贸三期,机电,指定,0
U_ORG_XM_GMSQB,北京中国国际贸易中心三期B阶段工程,机电,指定,0
U_ORG_XM_GRGCJD,北京国锐广场机电,机电,指定,117572.3
U_ORG_XM_GRGD,国瑞光电产业基地,机电,指定,0
U_ORG_XM_GSQYZDYQ,甘肃庆阳正大一期,机电,指定,0
U_ORG_XM_GXNNDXCFJF,广西南宁电信东盟信息园动力中心柴发机房,机电,指定,0
U_ORG_XM_GYHYZCF,中建（天津）工业化建筑公司预制厂房,机电,指定,0
U_ORG_XM_GYSGZFYYYJD,贵阳市贵州妇女儿童国际医院机电,机电,指定,9005.5
U_ORG_XM_GYWK,贵阳万科劲嘉大都会商业综合体,机电,指定,0
U_ORG_XM_GZALBB,广州阿里巴巴华南运营中心,机电,指定,4422925.63
U_ORG_XM_GZBLSYL,广州保利三元里,机电,指定,0
U_ORG_XM_GZBYHYC,广州黄石路白云汇广场影城,机电,指定,0
U_ORG_XM_GZCSJ,广州超视堺第10.5代TFT-LCD显示器件生产线,机电,指定,0
U_ORG_XM_GZCSJFZ,广州超视堺第10.5代TFT-LCD显示器件生产线（发展）,机电,指定,27816320.32
U_ORG_XM_GZKNBLC,广州第10.5代TFT-LCD显示器生产线玻璃工厂建设,机电,指定,0
U_ORG_XM_GZLGDDGC,广州LG-Display-D工程,机电,指定,0
U_ORG_XM_GZLGGP3,广州LG Display GP3,机电,指定,0
U_ORG_XM_GZPY,广州金融街番禺市桥,机电,指定,0
U_ORG_XM_GZWXN,广州维信诺第6代柔性AMOLED模组生产线,机电,指定,0
U_ORG_XM_GZWXNJD,广州维信诺第6代柔性AMOLED模组生产线机电,机电,指定,15218046.69
U_ORG_XM_GZYLSQ,广州养老社区项目示范区工程,机电,指定,0
U_ORG_XM_GZYXBDT,广州粤芯半导体,机电,指定,0
U_ORG_XM_HBGAYG,河北固安第6代有源矩阵AMOLED面板生产线,机电,指定,0
U_ORG_XM_HBGAZSJD,河北固安第6代有源矩阵AMOLED面板生产线装饰机电,机电,指定,0
U_ORG_XM_HBXAWKSYS,河北雄安新区万科实验室,机电,指定,0
U_ORG_XM_HBXYZDYQ,湖北襄阳正大一期,机电,指定,0
U_ORG_XM_HEBHRHLS,哈尔滨华润·欢乐颂,机电,指定,0
U_ORG_XM_HEBHRXFL,哈尔滨华润·幸福里,机电,指定,0
U_ORG_XM_HEBSZCYY,哈尔滨深圳产业园科创总部,机电,指定,2123893.81
U_ORG_XM_HEBZGBY,哈尔滨中国北药智慧产业新城A1地块,机电,指定,0
U_ORG_XM_HFCX,合肥长鑫12吋存储器晶圆制造基地项目一期改扩建,机电,指定,0
U_ORG_XM_HFDC,合肥鼎材新型显示配套高端电子材料生产基地,机电,指定,0
U_ORG_XM_HFFTSWG,合肥富通商务港一期BC段,机电,指定,0
U_ORG_XM_HFJDFCK,合肥京东方光电科技有限公司成品仓库,机电,指定,0
U_ORG_XM_HFJDFLDX,合肥京东方TFT-LCD六代线工程,机电,指定,0
U_ORG_XM_HFJDFLDXJD,合肥京东方TFT-LCD六代线工程(机电),机电,指定,0
U_ORG_XM_HFJDFSDWD,合肥京东方第10.5代薄膜晶体管液晶显示器件（TFT-LCD）,机电,指定,15183545.23
U_ORG_XM_HFLXYFJD,合肥联想研发基地,机电,指定,0
U_ORG_XM_HFSMGZ,北京华富商贸大楼改造装修,机电,指定,0
U_ORG_XM_HFSY,合肥视涯OLED微型显示器件厂,机电,指定,0
U_ORG_XM_HFV3,合肥维信诺第六代AMOLED生产线,机电,指定,0
U_ORG_XM_HFV3FZ,合肥维信诺第六代AMOLED生产线（发展）,机电,指定,0
U_ORG_XM_HFXSCMPJJT,合肥鑫晟光电科技有限公司触摸屏生产线（局集团）,机电,指定,0
U_ORG_XM_HFYJCLCJ,合肥邮件处理车间,机电,指定,0
U_ORG_XM_HFYJCLCJFZ,合肥邮件处理车间（发展）,机电,指定,0
U_ORG_XM_HFZJCF,合肥整机智能制造生产线,机电,指定,1981856.82
U_ORG_XM_HHHTKDJD,呼和浩特凯德广场·诺和木勒改造项目机电,机电,指定,4276972.25
U_ORG_XM_HJDYH,北京花家地一号,机电,指定,0
U_ORG_XM_HJJYSSZYYZX,上海黄金交易所深圳运营中心,机电,指定,0
U_ORG_XM_HKKGBSQ,海口空港综合保税区监管设施,机电,指定,0
U_ORG_XM_HKT,海口塔,机电,指定,0
U_ORG_XM_HKTSZ,海口塔南塔试桩工程,机电,指定,0
U_ORG_XM_HKYSDEQ,北京鸿坤云时代二期,机电,指定,0
U_ORG_XM_HMHT,后帽胡同23号翻、扩建工程,机电,指定,0
U_ORG_XM_HNAYZZC,河南安阳内黄正大一期,机电,指定,0
U_ORG_XM_HNDSKTXT,华能大厦空调系统安装工程,机电,指定,0
U_ORG_XM_HNJTCXJD,华能人才创新创业基地,机电,指定,0
U_ORG_XM_HNTZDS,北京湖南投资大厦,机电,指定,0
U_ORG_XM_HNWYBWH,河南舞阳北外环,机电,指定,0
U_ORG_XM_HNXYSWBG,河南新乡中蓝商务地块自持办公,机电,指定,0
U_ORG_XM_HNYGDSJ,淮南云谷大数据产业园(B地块),机电,指定,0
U_ORG_XM_HSQY,呼和浩特群众艺术馆,机电,指定,0
U_ORG_XM_HTDXJSSS,北京航天工程大学军事设施建设,机电,指定,0
U_ORG_XM_HXGDAZB,华星光电第8.5代TFT-LCD A标段施工总承包,机电,指定,0
U_ORG_XM_HXGDAZBJD,华星光电第8.5代TFT-LCD（综合）,机电,指定,0
U_ORG_XM_HZALYZB,杭州阿里云计算公司总部,机电,指定,2662304.08
U_ORG_XM_HZCNYG,杭州菜鸟西湖云谷产业园,机电,指定,0
U_ORG_XM_HZDTSHX,杭州地铁3号线一期工程星桥车辆段,机电,指定,0
U_ORG_XM_HZGYDYQ,哈尔滨中国移动数据机房一期,机电,指定,0
U_ORG_XM_HZHKGD,杭州海康高端安防产品及红外传感芯片研发、产业化,机电,指定,0
U_ORG_XM_HZHPDX,杭州湖畔大学,机电,指定,0
U_ORG_XM_HZLXYTC,杭州理想银泰城,机电,指定,0
U_ORG_XM_HZRHALY,杭州仁和阿里云计算数据中心,机电,指定,6345737.47
U_ORG_XM_HZXLW,广东惠州金融街巽寮湾海世界,机电,指定,0
U_ORG_XM_HZZX,杭州中芯晶圆半导体股份有限公司半导体大硅片（200mm、300mm）,机电,指定,0
U_ORG_XM_JCGJD,晋城光机电产业园一期项目EPC总承包,机电,指定,0
U_ORG_XM_JJGC,823工程,机电,指定,0
U_ORG_XM_JJHCZGCGZ,九江火车站广场及滨江路改造,机电,指定,0
U_ORG_XM_JJXJKSLYQ,九江新建快速路一期,机电,指定,0
U_ORG_XM_JL43015GC,吉林省43015-3EPC,机电,指定,0
U_ORG_XM_JLMHKKMWLY,吉林梅河口康美医疗健康中心物流园,机电,指定,0
U_ORG_XM_JLMHKKMYLY,吉林梅河口康美医疗健康中心医疗园,机电,指定,0
U_ORG_XM_JLMHKKMYYY,吉林梅河口康美医疗健康中心医养园,机电,指定,0
U_ORG_XM_JMHFSJ,江门华发四季,机电,指定,0
U_ORG_XM_JRJAG,金融街A5改扩建,机电,指定,0
U_ORG_XM_JRJHZQ,广州金融街海珠区石岗路,机电,指定,0
U_ORG_XM_JRJYTZX,北京金融街（月坛）中心,机电,指定,0
U_ORG_XM_JSXHLZX,嘉兴市嘉善县健康护理中心,机电,指定,0
U_ORG_XM_JSZJLXCF,江苏镇江力信锂电池研发及产业化工程,机电,指定,0
U_ORG_XM_JXSWZX,北京京西商务中心（西区）商业金融用地,机电,指定,0
U_ORG_XM_JXWHZX,嘉兴市文化艺术中心,机电,指定,6265391.87
U_ORG_XM_JXWLCC,嘉兴综合保税区物流仓储,机电,指定,0
U_ORG_XM_JXYL,北京绿城西山燕庐,机电,指定,0
U_ORG_XM_JYWKC,金隅万科城A1地块综合体,机电,指定,0
U_ORG_XM_KSLFGD,昆山龙飞光电有限公司厂房一期土建工程,机电,指定,0
U_ORG_XM_KSYDGJ,昆山友达L6K厂房改建,机电,指定,0
U_ORG_XM_LFYQWK,廊坊永清紫晶翡丽,机电,指定,0
U_ORG_XM_LGYZZSPF,北京来广营北路自住型商品房,机电,指定,0
U_ORG_XM_LNTSLGC,辽宁天士力现代中药示范工厂,机电,指定,1481904.31
U_ORG_XM_LNTSLSRGZ,辽宁天士力参茸厂区改造,机电,指定,-2922.52
U_ORG_XM_LTEQGZ,北京联通亦庄二期弱电改造工程,机电,指定,0
U_ORG_XM_LXHGZ,北京利星行中心改造,机电,指定,249991.66
U_ORG_XM_LXHZX,北京利星行中心(文化交流中心),机电,指定,5496005.76
U_ORG_XM_LXHZXEQ,北京利星行中心二期,机电,指定,0
U_ORG_XM_LXZBEQ,北京联想总部园区二期,机电,指定,66473859.04
U_ORG_XM_LXZBYQ,北京联想总部园区一期,机电,指定,0
U_ORG_XM_LYSTYLJLH,洛阳隋唐园立交亮化,机电,指定,0
U_ORG_XM_LYSTYLJLHJT,洛阳隋唐园立交亮化(集团),机电,指定,0
U_ORG_XM_LYZDYQ,洛阳正大一期,机电,指定,0
U_ORG_XM_LZSOHOJD,北京丽泽soho机电,机电,指定,0
U_ORG_XM_MSKHMY,莫斯科中国贸易中心,机电,指定,12110397.33
U_ORG_XM_MTGBL,北京门头沟保利首开自住房,机电,指定,0
U_ORG_XM_MTGBLXX,北京门头沟保利小学,机电,指定,0
U_ORG_XM_MYJDF,绵阳京东方第6代AMOLED柔性生产线,机电,指定,5843092.62
U_ORG_XM_MYWSCLC,绵阳永兴污水处理厂扩建,机电,指定,0
U_ORG_XM_MYZZ,北京密云项目住宅,机电,指定,0
U_ORG_XM_NCGXWDZ,南昌高新微电子科技园,机电,指定,0
U_ORG_XM_NCJKQJD,南昌经开区LED电子信息孵化示范基地机电,机电,指定,8863695.93
U_ORG_XM_NCSSMZXJD,南昌市市民中心建设工程机电,机电,指定,32394775.33
U_ORG_XM_NGZCXQ,北京石景山区南宫住宅小区,机电,指定,0
U_ORG_XM_NJHSXFDJC,南京华夏幸福大校场项目G地块,机电,指定,0
U_ORG_XM_NJHXC,南京海峡城E地块住宅,机电,指定,0
U_ORG_XM_NJKGZNGGW,南京空港智能骨干网,机电,指定,0
U_ORG_XM_NJTJD,南京台积电12吋晶圆厂与设计服务中心一期,机电,指定,0
U_ORG_XM_NJTS,南京腾讯华东云计算基地,机电,指定,0
U_ORG_XM_NJYZJG29DK,南京燕子矶G29B地块,机电,指定,12322529.66
U_ORG_XM_NJZGJCDLJD,南京紫光集成电路基地,机电,指定,0
U_ORG_XM_NTALYJS,南通阿里云计算数据中心,机电,指定,0
U_ORG_XM_PAGJJRZX,深圳平安国际金融中心（局集团）,机电,指定,8714935.13
U_ORG_XM_PAJRZXNT,深圳平安金融中心南塔,机电,指定,0
U_ORG_XM_PJZW,盘锦忠旺铝业一期一标段A区,机电,指定,0
U_ORG_XM_QBJWTZX,成都青白江区文化体育中心,机电,指定,0
U_ORG_XM_QBJZHDD,成都青白江区智慧大道,机电,指定,0
U_ORG_XM_QDHFSJ,青岛华发四季,机电,指定,0
U_ORG_XM_QDHNJD,青岛华能信息产业基地机电,机电,指定,6972917.51
U_ORG_XM_QDWKFCZJ,青岛万科翡翠长江,机电,指定,0
U_ORG_XM_QHBT,北京清华大学北体育馆,机电,指定,0
U_ORG_XM_QHDXBNHT,清华大学百年会堂,机电,指定,0
U_ORG_XM_QHDXGLLJD,秦皇岛香格里拉大酒店机电,机电,指定,0
U_ORG_XM_QHDXXQLJGZZ,北京清华大学学清路教工住宅（学清苑）,机电,指定,0
U_ORG_XM_QHGJDQ,清河镇住宅及配套二期公建东区,机电,指定,0
U_ORG_XM_QHGJXQ,体育设施及商业楼项目（清河）,机电,指定,0
U_ORG_XM_QHSSM,北京清华大学苏世民书院,机电,指定,3524256
U_ORG_XM_QZSABDT,泉州三安半导体研发与产业化,机电,指定,0
U_ORG_XM_RHALYEQ,杭州仁和阿里云计算数据中心二期,机电,指定,0
U_ORG_XM_RHQSZX,中国人民银行清算总中心北京中心低压配电,机电,指定,0
U_ORG_XM_RHYY,北京市仁和医院二期,机电,指定,0.01
U_ORG_XM_RJZX,北京如家北纬路店装修,机电,指定,0
U_ORG_XM_RMJCYSFY,北京市人民检察院三分院工程,机电,指定,0
U_ORG_XM_RZZX,容灾中心等两项工程,机电,指定,0
U_ORG_XM_SCGAFY,四川广安富盈洋房及商业,机电,指定,0
U_ORG_XM_SCGAJDGZ,四川广安富盈酒店机电改造,机电,指定,0
U_ORG_XM_SCGCCYY,四川国际创新设计产业园A地块,机电,指定,0
U_ORG_XM_SDBZZYY,山东滨州中医医院新院,机电,指定,2608141.59
U_ORG_XM_SDJCGZ,北京首都机场2号航站楼改造,机电,指定,0
U_ORG_XM_SDRCGEJD,山东荣成歌尔电子4#厂房、2#动力中心机电,机电,指定,0
U_ORG_XM_SDYDSJZX,山东移动青岛数据中心一期空调,机电,指定,-518300.76
U_ORG_XM_SDYKDKYL,北京首都医科大学临床科研楼改造,机电,指定,0
U_ORG_XM_SHGBSH,上海古北SOHO机电工程,机电,指定,1092106.15
U_ORG_XM_SHGH,上海国浩长风城二期东地块综合体,机电,指定,0
