项目编码,项目名称,专业,分包类型,产值
U_ORG_XM_AHWHYJSYY,安徽芜湖皖南医学院弋矶山医院,土建,自施,50753165.43
U_ORG_XM_AHZWCF,安徽忠旺厂房,土建,自施,5027.78
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,土建,自施,30218783.02
U_ORG_XM_BDKYL,北京大学教学科研楼,土建,自施,28220181.8
U_ORG_XM_BDTSGGZ,北京大学图书馆改造,土建,自施,3708195.69
U_ORG_XM_BJAZKYL,北京A座科研楼,土建,自施,4217970.7
U_ORG_XM_BJCBDSYJR,北京市CBD核心区Z2b地块商业金融,土建,自施,120764943.2
U_ORG_XM_BJDCBGLGKJ,北京东城办公楼改扩建,土建,自施,1037431.67
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,土建,自施,105876.86
U_ORG_XM_BJFSHFZYGY,北京房山华发中央公园,土建,自施,16397920.56
U_ORG_XM_BJFSLHXYTJ,北京房山龙湖熙悦天街,土建,自施,232144022
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,土建,自施,35210658.39
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,土建,自施,6903933.01
U_ORG_XM_BJGLYSQ03_31,北京高丽营三期03-31地块,土建,自施,217849763.2
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,土建,自施,31061747.46
U_ORG_XM_BJHLDS,北京华力国际大厦,土建,自施,25891308.28
U_ORG_XM_BJHPC,北京和平村,土建,自施,147708600.6
U_ORG_XM_BJHQDJQJT,北京环球度假区（集团）,土建,自施,15560195.49
U_ORG_XM_BJHQGYDJQ,北京环球度假区,土建,自施,245855894.5
U_ORG_XM_BJHQNYZX,北京环球能源中心,土建,自施,38209781.56
U_ORG_XM_BJHQZTGY,北京环球主题公园,土建,自施,232734078.3
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,土建,自施,202187034.2
U_ORG_XM_BJHSMZXGZ,北京火神庙商业中心改造,土建,自施,71516058.7
U_ORG_XM_BJKTDX,北京凯特大厦,土建,自施,3724590.36
U_ORG_XM_BJLZJRSWQ,北京丽泽金融商务区E-13、E-14地块,土建,自施,1480584.02
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],土建,自施,54228387.08
U_ORG_XM_BJNHHS,北京新机场南航航空食品设施,土建,自施,152345713.8
U_ORG_XM_BJODBSMZX,北京欧德宝商贸中心,土建,自施,102481662.4
U_ORG_XM_BJPAE05DK,北京平安金融中心E05地块,土建,自施,76098553.66
U_ORG_XM_BJSMYJSKJ,北京生命科学研究所扩建,土建,自施,31156746.66
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,土建,自施,6320028.66
U_ORG_XM_BJSYMTZ,北京顺义马头庄,土建,自施,331508885.1
U_ORG_XM_BJTGLGZ,北京太古里改造,土建,自施,27734203.52
U_ORG_XM_BJWJBGLSQ,北京望京办公楼三期,土建,自施,100157370.2
U_ORG_XM_BJWKQXS,北京万科七橡墅,土建,自施,215682098.3
U_ORG_XM_BJXHBX,北京新华保险大厦改造,土建,自施,5549.22
U_ORG_XM_BJXJCGL,北京新机场道路及综合管廊,土建,自施,237534969.6
U_ORG_XM_BJXSJDAZF,北京香山军队安置房,土建,自施,93029143.89
U_ORG_XM_BJXXCXYEQ,中国电信北京信息科技创新园科研数据中心,土建,自施,4733450.39
U_ORG_XM_BJYABGZX,北京永安宾馆装修,土建,自施,11234134.27
U_ORG_XM_BJYCCF,北京盈创2#厂房等5项,土建,自施,32095197.8
U_ORG_XM_BJYDHHHLJZL,北京永定河混合垃圾治理,土建,自施,16585491.77
U_ORG_XM_BJYYYH,北京远洋瀛海,土建,自施,377950090.3
U_ORG_XM_BJZCCF,北京中钞厂房,土建,自施,119105824.6
U_ORG_XM_BJZSJD,北京招商嘉铭酒店,土建,自施,95522.78
U_ORG_XM_BJZSJM,北京嘉铭珑原07-01办公商业,土建,自施,668978.42
U_ORG_XM_BQDLZCJD,北汽动力总成基地项目（一期）二标段,土建,自施,69903706.67
U_ORG_XM_BQSTLGZF,北京顺义新城第4街区保障性住房,土建,自施,137313023.8
U_ORG_XM_BZGZSYXX,巴中光正实验学校,土建,自施,74011135.59
U_ORG_XM_CDDTAZF,成都青白江区大同集中安置房(二期),土建,自施,23737372.5
U_ORG_XM_CDHJSSJ,成都黄甲尚善居C区,土建,自施,216600045.4
U_ORG_XM_CDJDF6DX,成都京东方第6代生产线,土建,自施,90833654.89
U_ORG_XM_CDJDFCK,成都京东方第6代柔性AMOLED触控一体化显示器件,土建,自施,233178866.5
U_ORG_XM_CDJDFGYZX,成都京东方AMOLED工艺技术测试中心,土建,自施,366284.77
U_ORG_XM_CDJNRCGY,成都金牛人才公寓,土建,自施,168467388.9
U_ORG_XM_CDJTWFPPP,成都金堂县五凤镇新型城镇化PPP项目,土建,自施,178798040.1
U_ORG_XM_CDJTWFPPPJT,成都金堂县五凤镇新型城镇化PPP（集团）,土建,自施,21791578.58
U_ORG_XM_CDLTGC,成都乐天广场,土建,自施,216392482.1
U_ORG_XM_CDPJSQZHT,成都蒲江鹤山街道办社区综合体,土建,自施,143692768.4
U_ORG_XM_CDQBJPPPFJ,成都青白江区PPP·房建,土建,自施,181527948.1
U_ORG_XM_CDQBJPPPSZ,成都青白江区PPP·市政,土建,自施,52123083.26
U_ORG_XM_CDQBJPPPSZFZ,成都青白江区PPP·市政（发展）,土建,自施,31290354.33
U_ORG_XM_CDTKZJ,成都泰康之家蜀园项目一期,土建,自施,3598164.86
U_ORG_XM_CDWJQBLT,成都温江区BLT,土建,自施,100388786.2
U_ORG_XM_CDWJQBLTFZ,成都温江区BLT（发展）,土建,自施,58327228.82
U_ORG_XM_CDXDAZF,成都新都区成青苑及桂荷馨苑小区,土建,自施,124237681
U_ORG_XM_CDXJYBF,成都新津御宾府,土建,自施,2892113.5
