项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_HZHKWSSQ,杭州海康威视智能安检产品产业化基地,18248630.126409434,19891006.835391294,18248630.126409434,19891006.835391294,18111537.060000002,18111537.060000002
U_ORG_XM_HZHPDX,杭州湖畔大学,154921917.24544063,170879182.9193808,487715.82407909294,538459.8674565272,151045057.3662258,477298.7400000021
U_ORG_XM_HZLXYTC,杭州理想银泰城,1084815335.4390073,1106391423.3482428,5931410.743163822,6049381.641475357,1178969139.3199995,6471835.969999996
U_ORG_XM_HZRHALY,杭州仁和阿里云计算数据中心,487616538.07239467,534062223.2276379,23054099.125375897,25233102.534154564,473260465.03996664,22386826.85
U_ORG_XM_HZZX,杭州中芯晶圆半导体股份有限公司半导体大硅片（200mm、300mm）,723441668.9018598,794823032.2396309,39231117.88842184,43102757.06487232,715592030.2651901,38789169.400000006
U_ORG_XM_JCGJD,晋城光机电产业园一期项目EPC总承包,139429240.56556267,151910604.6916232,139118572.3842374,151571976.37397918,138287593.555145,137979482.835145
U_ORG_XM_JJHCZGCGZ,九江火车站广场及滨江路改造,98860850.19402736,107186242.54094553,-451607.80726673536,-489323.6507923337,98437238.15000004,-449694.5899999999
U_ORG_XM_JJXJKSLYQ,九江新建快速路一期,175793936.61801672,191473561.21965066,104152366.76657209,113384250.08123681,170400952.8848543,101010013.8048543
U_ORG_XM_JL43015GC,吉林省43015-3EPC,214607602.31443906,234213325.50586557,124294188.93280956,135750354.96200898,213985419.44570002,123769871.05999999
U_ORG_XM_JLMHKKMWLY,吉林梅河口康美医疗健康中心物流园,21244861.741479248,23367396.722909033,742.6487793074162,816.825307414279,20655974.82,719.4399999999441
U_ORG_XM_JLMHKKMYLY,吉林梅河口康美医疗健康中心医疗园,90720334.03269589,100655024.22943224,-790547.9562532336,-877508.2284673023,88819123.98200001,-770425.5499999997
U_ORG_XM_JLMHKKMYYY,吉林梅河口康美医疗健康中心医养园,181683845.16329136,201669067.48284388,-2343468.1763493,-2601249.6665218007,178556116.90520003,-2293369.28
U_ORG_XM_JMHFSJ,江门华发四季,401408673.8044229,437544257.6146641,66510406.97927229,72567054.30145572,386902217.8512262,64322913.147257
U_ORG_XM_JRJHZQ,广州金融街海珠区石岗路,416578277.35805947,448769637.2293353,2495933.2264215015,2728518.182510491,406905550.3700001,2424547.3300000015
U_ORG_XM_JSXHLZX,嘉兴市嘉善县健康护理中心,78264574.00729941,85308385.67069009,34000252.70771592,37060275.45258962,76723347.87,33331900.460000005
U_ORG_XM_JSZJLXCF,江苏镇江力信锂电池研发及产业化工程,189430323.21201116,210267658.82097083,18588.91532821951,20633.696020047562,187771998.98849005,18426.649999999994
U_ORG_XM_JXGQGC,嘉兴港区滨海中央广场项目二期EPC,382366.4645733149,416779.44640040956,382366.4645733149,416779.44640040956,353316.05,353316.05
U_ORG_XM_JXSWZX,北京京西商务中心（西区）商业金融用地,36028488.32827828,36420522.44776037,0,0,34989447.03,0
U_ORG_XM_JXWHZX,嘉兴市文化艺术中心,809036702.2054424,881850005.4064279,302148213.71866167,329341552.95412976,790678354.1200002,296415760.39000005
U_ORG_XM_JXWLCC,嘉兴综合保税区物流仓储,191944877.51161638,209219916.48349932,146544319.47630277,159733308.2261411,172153396.97000003,131556382.17000002
U_ORG_XM_JXYL,北京绿城西山燕庐,261158216.8019264,284228206.3044471,32474031.58010273,35395018.3724954,256728131.6537282,31891971.130000006
U_ORG_XM_JYWKC,金隅万科城A1地块综合体,50113872.16055231,50121103.58968068,131282.36775578966,131301.33800690804,45183218.739999995,118359.88999999315
U_ORG_XM_KSLFGD,昆山龙飞光电有限公司厂房一期土建工程,154138981.24342966,154138981.24342966,0,0,140270066.58,0
U_ORG_XM_KSYDGJ,昆山友达L6K厂房改建,5660901.114542889,5727922.4392563,17451.842315578284,17658.46058482782,5574506.94,17185.5
U_ORG_XM_LFYQWK,廊坊永清紫晶翡丽,41138276.08518586,45367488.951805726,1061975.0302019524,1171073.705228027,36465563.07239407,940234.7100000002
U_ORG_XM_LGYZZSPF,北京来广营北路自住型商品房,900462680.2111676,914734162.7341676,5891087.452160964,5896968.494159044,883242325.6899998,5603152.279999999
U_ORG_XM_LNTSLGC,辽宁天士力现代中药示范工厂,141403085.6657727,156198961.5579933,16140639.47845051,17821651.161372256,141050714.24,16083902.92
U_ORG_XM_LNTSLSRGZ,辽宁天士力参茸厂区改造,29833869.19811959,33008345.728738755,2523192.482182201,2791698.7421598444,29616158.39,2512235.4400000004
U_ORG_XM_LXHGZ,北京利星行中心改造,54070157.554697365,59210093.3298582,13213465.970831502,14754799.38533162,52537154.28,12776662.04
U_ORG_XM_LXHZX,北京利星行中心(文化交流中心),1840027206.8936093,1869679765.370635,635035.2838527008,645136.9822547683,1596424143.8099997,507218.92999999225
U_ORG_XM_LXHZXEQ,北京利星行中心二期,54351274.64714833,59465188.08941941,6801982.560432117,7434432.722697152,52993820.13000001,6595332.31
U_ORG_XM_LXZBEQ,北京联想总部园区二期,911112548.9265425,938445925.4128168,13664593.086841652,14074530.87973335,901969986.5599998,13468638.620000001
U_ORG_XM_LYSTYLJLH,洛阳隋唐园立交亮化,4508044.806956865,4913768.842433895,2757557.723153364,3005737.919981061,4421604.66,2704682.54
U_ORG_XM_LYSTYLJLHJT,洛阳隋唐园立交亮化(集团),40632361.27387804,44289273.79253276,6774527.878979522,7384235.3887555385,40429199.47,6740655.24
U_ORG_XM_LYZDYQ,洛阳正大一期,29392647.96639925,32620368.921879083,600010.7932816735,665888.0254706781,28781912.020000003,586775.25
U_ORG_XM_LZSOHOJD,北京丽泽soho机电,79923115.59137475,82320703.92822134,9228462.959710095,9505316.848698312,78677408.46,9084618.89
U_ORG_XM_MSKHMY,莫斯科中国贸易中心项目,1523450166.6666667,1828140200,30475000,36570000,,
