项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,1128482812.47488,1128482812.47488,469397800,469397800,,
U_ORG_XM_AHWHYJSYY,安徽芜湖皖南医学院弋矶山医院,247592566.08420408,272351822.6890729,104287282.52795783,114716010.77965587,235480231.64043313,99695384.02781175
U_ORG_XM_AHZWCF,安徽忠旺厂房,0,0,-127750,-127750,0,-127750
U_ORG_XM_ASJGS,鞍山市公安局监管场所新建,97463864.4409036,106235612.2407819,97083593.2416449,105821116.63358991,95828259.25999999,95454615.92999998
U_ORG_XM_BZGZSYXX,巴中光正实验学校,144995040.95759708,159494545.05153668,6188429.670545864,6807272.637576801,143747829.24547175,6131329.369999999
U_ORG_XM_BZSYLXQ,霸州市云庐小区住宅,175082171.40689552,190839566.8308955,92105496.61137263,100394991.30487928,164697035.67282706,86629765.13757224
U_ORG_XM_BJAZKYL,北京A座科研楼,13270686.97873255,14597755.669505334,0,0,12685989.09,0
U_ORG_XM_Z13SYJR,北京CBD核心区Z13地块商业金融,1432125905.7371254,1470923588.5759912,138255685.66425124,141633870.43125126,1338336368.2300005,120865452.43000002
U_ORG_XM_BJZ12TKJD,北京Z12泰康大厦机电工程,233385732.6376362,240387304.67149273,36531349.07187882,37627289.55760707,214222913.58000004,33722592.93
U_ORG_XM_ZGZKT,北京Z15中国尊高区空调,270709936.3263583,278830862.09242505,8530057.412831873,8785959.135197166,260466215.78999993,8207263.460000006
U_ORG_XM_BJAN4D,北京奥南4#地,103018831.68317862,103035784.55009404,232321.69840241483,232359.92945949663,97776714.53999999,220500
U_ORG_XM_CYJZQ,北京常营大型居住区三期,78544291.18307783,78690861.0713097,167403.7795142315,167715.91695739914,73240412.59,156137.52000001073
U_ORG_XM_CYMSHJC,北京朝阳门SOHO中心南区商业加层,3405036.230414027,3440548.4061856354,0,0,3304636.55,0
U_ORG_XM_DXZBDQ,北京大兴17#地项目（东区）,27238675.35752712,27269665.95831886,0,0,24355905.07,0
U_ORG_XM_DXJCZSQAZF,北京大兴国际机场噪声区安置房,756925954.0882835,826480350.108084,293311450.9859469,319443322.2504715,714445307.2160001,281539597.31
U_ORG_XM_CPXQGZ,北京大学昌平新校区宿舍楼装修改造,213256175.30251998,232477837.86505112,213225845.85898173,232444778.7715929,207917344.96,207887990.92000002
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,91374925.2065291,99598668.46748827,52367477.43646088,57080550.40119248,88895656.198,50951979.91799999
U_ORG_XM_BDKYL,北京大学教学科研楼,206651029.5157554,209496679.76053196,15284763.721559558,15534461.166783419,198849288.25,14697960.270000001
U_ORG_XM_BDTSGGZ,北京大学图书馆改造,150267893.67615902,164358826.76204944,6796407.254005894,7417511.215790034,147902629.57000002,6644158.450000001
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,201115272.73252946,219215647.27032506,2887632.1417194875,3147519.0343395867,197343442.54000005,2825045.1100000003
U_ORG_XM_YJSGZ,北京电信亦庄云计算改造,83432555.15298814,92426774.1912145,2962834.1031856164,3271213.090548541,82973697.4,2939394.42
U_ORG_XM_BJDCBGLGKJ,北京东城办公楼改扩建,247909256.95779496,269714842.24988496,169208790.06722388,184161025.94734442,236689828.8379764,163124941.1288764
U_ORG_XM_DXKAZFJZHZZ,北京东小口安置住房及综合整治,210895156.25229755,229875720.31463197,138710788.99203262,151194760.00135583,209422851.61,137822878.32999998
U_ORG_XM_BJFSHFZYGY,北京房山华发中央公园,316758342.6580513,346276464.88294613,200143915.31154904,218706197.4028242,303485890.70076954,192889929.3307695
U_ORG_XM_BJFSLHXYTJ,北京房山龙湖熙悦天街,467371464.92933345,510634602.3004036,22515871.757096794,24590524.015293792,442363046.11320007,21194556.049999997
U_ORG_XM_BJFZKYLJD,北京纺织科研楼实验楼机电,78088433.67807558,85116392.71071306,5616200.166568769,6121658.181675799,75816812.17,5452822.819999999
U_ORG_XM_BJFZDSZX,北京凤展大厦装修工程,4267243.3779038545,4693967.718690389,0,0,4013754.41,0
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,402951937.6220185,439217611.993642,242778101.58708042,264628130.71888942,395465420.5429734,238909762.93381003
U_ORG_XM_BJGLYSQ03_31,北京高丽营三期03-31地块,694328677.1814358,759927337.7946068,12910429.430493055,14130868.022307795,628531276.79,11624140.749999998
U_ORG_XM_GCBS38DK,北京观承别墅03-38地块二标段,193305671.96224532,201986478.2703039,12307367.859121414,12804592.832975661,188766978.91,12012941.749999998
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,407870551.4436732,445152405.4947393,182957936.8410292,199664438.05970833,353229717.6162601,159990811.03434008
U_ORG_XM_YYZXGZSQ,北京国家游泳中心改造三期,159940100.41707537,174158386.44782186,25779452.373688307,28063483.246499494,134685943.93,22086466.56
U_ORG_XM_GMDLGZ,北京国贸东楼改造及交通一体化,306308423.09008086,311051856.340663,13589003.414352935,13793241.314723073,300401068.84000003,13390418.379999999
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,150427433.89537552,164825120.31190667,12153750.660262534,13382539.908919202,147433381.75120446,11950681.12
U_ORG_XM_GRGCJD,北京国锐广场机电,122706212.6090653,126121219.8508791,11194485.393979525,11540706.592503587,121869706.67000002,11109678.52
U_ORG_XM_HTDXJSSS,北京航天工程大学军事设施建设,311706081.15474486,339759628.4556451,178528220.88042206,194595760.75784856,311161329.5308001,178211871.38999996
U_ORG_XM_BJHPC,北京和平村,450924013.0224683,500525654.4699435,61692153.22826877,68478290.0888789,434330326.06999993,59723061.660000004
U_ORG_XM_HKYSDEQ,北京鸿坤云时代二期,347364474.11903113,381514247.0146103,21722572.36783911,23758680.75471357,334542868.5264484,21260588.460000005
U_ORG_XM_HNTZDS,北京湖南投资大厦,57444926.88880152,62614970.339241594,56587153.114931844,61679996.92397442,52088979.99,51323040.36
U_ORG_XM_HJDYH,北京花家地一号,13351018.530292854,14552610.198219456,7450392.944143282,8120928.309323784,13099251.51,7323686.779999999
U_ORG_XM_BJHLDS,北京华力国际大厦,2172985.7353417655,150623651.20415834,0,0,1921809.23,0
U_ORG_XM_HNRCJFGZ,北京华能人才基地B栋实验楼数据机房改造,14538518.683493577,15846985.367601136,14538518.683493577,15846985.367601136,14435585.98,14435585.98
U_ORG_XM_YXHE2DK,北京怀柔区雁栖湖柏崖厂村E2地块,357540783.5964449,399656239.7021267,90973453.84040917,101878670.29313642,358688907.66100013,92526824.49000001
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,403009627.0164381,439186590.0093224,39571148.505991325,42514960.07132049,397111490.41999996,39164014.96000001
U_ORG_XM_BJHQGYDJQ,北京环球度假区,715145994.1980288,780079858.849947,58973892.41754158,64314983.82301073,709333960.7328806,58603563.45609772
U_ORG_XM_BJHQDJQJT,北京环球度假区（集团）,24876463.814643223,27220818.165298335,1441720.6291553238,1572917.2063876379,24694708.7133,1429316.7633
U_ORG_XM_BJHQNYZX,北京环球能源中心,253787864.47608405,275832260.4472921,21678974.114082776,23530347.629005395,239937948.51999998,20836323.34
U_ORG_XM_BJHQZTGY,北京环球主题公园,1230473268.2822514,1342402065.421483,108103922.98652405,117932485.68293096,1195476360.8111997,105672338.884
U_ORG_XM_BJHSMZXGZ,北京火神庙商业中心改造,295122471.18153924,325277172.2971678,34871251.52118809,38573057.32112994,291437530.1763449,34435068.12543689
U_ORG_XM_BJZSJM,北京嘉铭珑原07-01办公商业,14711415.774372993,15300238.686806802,0,0,14411607.94,0
U_ORG_XM_BJJGMBGLGJ,北京建国门办公楼改建工程,75042589.64694385,82183566.47974764,32885971.77749597,35880677.07266013,73598645.2484466,32539755.919999994
U_ORG_XM_JRJYTZX,北京金融街（月坛）中心,1729768683.8522856,1741142366.5607362,2765422.2605459606,2785806.595199848,1620115242.77,2630769.269999996
U_ORG_XM_JXSWZX,北京京西商务中心（西区）商业金融用地,35743119.64526076,36132048.603644915,0,0,34989447.03,0
U_ORG_XM_BJJCBDT,北京精测半导体设备及准分子激光器,116907226.9697859,127385188.07376845,116907226.9697859,127385188.07376845,116176389.50000003,116176389.50000003
U_ORG_XM_BJKTDX,北京凯特大厦,394533985.1887038,398391956.53805995,-13653591.561547909,-13327534.928440552,386903794.5300001,-14298457.489999995
U_ORG_XM_LGYZZSPF,北京来广营北路自住型商品房,900763109.2625551,915043558.7689345,6300716.057252128,6307160.89284641,883633822.6999999,5994649.290000005
U_ORG_XM_LZSOHOJD,北京丽泽soho机电,84147403.72860646,86671720.70966013,13452751.096941806,13856333.630137118,82835852.60999998,13243063.040000003
U_ORG_XM_BJLZJRSWQ,北京丽泽金融商务区E-13、E-14地块,24982467.706129104,25202321.929727513,1629461.1995969554,1643801.0130667523,24232510.21,1580545.830000002
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],498486119.0130237,504206914.1869927,14799972.275283523,14945963.067648275,490031532.6614564,14527730.770000003
U_ORG_XM_LXHZX,北京利星行中心(文化交流中心),1840027206.8936093,1869679765.370635,635035.2838527008,645136.9822547683,1596424143.8099997,507218.92999999225
U_ORG_XM_LXHZXEQ,北京利星行中心二期,58299928.87926768,63780989.250782534,10647055.84787727,11637021.955377415,56693923.76000001,10295435.939999998
U_ORG_XM_LXHGZ,北京利星行中心改造,56108048.072979234,61500223.49428274,15251356.48911338,17044929.549756147,54499542.120000005,14739049.88
U_ORG_XM_LXZBEQ,北京联想总部园区二期,897075568.2763629,923987835.320917,-392937.09066975676,-404725.2038590312,887875199.1799998,-626148.7599999998
U_ORG_XM_LXZBYQ,北京联想总部园区一期,39423336.58797395,39705610.51087514,-343315.1306946959,-345773.29170083685,38426011.39,-334630
U_ORG_XM_JXYL,北京绿城西山燕庐,261979184.5923574,285071834.1199339,33256965.75034551,36238646.18798216,257492737.2237282,32656576.7
U_ORG_XM_MTGBL,北京门头沟保利首开自住房,142240455.98351994,150332926.9006567,-75203.37662119561,-77245.77430793065,137188761.1,-71978.26
U_ORG_XM_MTGBLXX,北京门头沟保利小学,21245839.697898503,24640152.16041849,0,0,20325670.34,0
