项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_CHOFG,巢湖欧菲光光学光电产业基地建设,613618812.2493006,668844505.3541368,555428365.5051247,605416918.4029671,610540898.4302981,552642343.4202979
U_ORG_XM_CQJDF6AMOLED,重庆京东方第6代AMOLED柔性生产线,2838432372.877673,3094088011.5250297,547981321.1344752,597318076.5458946,2824892251.179799,546684242.6698
U_ORG_XM_XAXQRDPQ,河北建投雄安·金湖未来城项目一第二标段,478029090.4991521,521206512.1220818,478029090.4991521,521206512.1220818,473799895.8800001,473799895.8800001
U_ORG_XM_XMTBSCX,厦门天马显示科技有限公司第6代柔性AMOLED生产线,458300451.7020761,499397465.62949353,403230027.67092216,439370703.4359662,456440695.5764358,401594559.86643577
U_ORG_XM_HZALYZB,杭州阿里云计算公司总部,1833890911.4523923,2001164243.483743,390786553.1830389,426058491.2544179,1798587657.7935362,387576778.78
U_ORG_XM_JXWHZX,嘉兴市文化艺术中心,814589962.9261113,887903059.5920382,307694424.16377693,335386922.3393865,796206150.4300002,301943556.70000005
U_ORG_XM_SZJLSWZX,深圳嘉里商务中心,551423887.9524441,606566276.743532,301709028.61520714,331879931.4739113,524610250.63792443,293401204.1679245
U_ORG_XM_DXJCZSQAZF,北京大兴国际机场噪声区安置房,742318476.8495799,810422421.9122,278275763.58032286,302916932.9998821,700455453.6860001,267549743.77999997
U_ORG_XM_BJWLCXXZB,北京未来城学校总承包,274386887.8095242,299450556.2388927,274386887.8095242,299450556.2388927,269027536.923,269027536.923
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,582886887.983166,635346707.8964989,255450166.39480856,278440681.3680472,580557555.6782312,254770631.63440004
U_ORG_XM_SCTKXNYY,四川泰康西南医院,246614920.16331744,268810262.97331023,246614920.16331744,268810262.97331023,209733503.48015657,209733503.48015657
U_ORG_XM_WXXZBDT,无锡芯卓半导体产业化建设,246607170.56380194,268801815.9121213,246607170.56380194,268801815.9121213,245348700.0030813,245348700.0030813
U_ORG_XM_CDJNRCGY,成都金牛人才公寓,825891537.6629398,900221776.0514749,240685470.01049972,262347162.31024474,810704251.8305988,236606530.90021202
U_ORG_XM_FSJRJSD,佛山金融街顺德陈村,216942611.59310415,236467446.6440636,216942361.82963976,236467174.40188742,212764011.78309292,212763766.78309292
U_ORG_XM_WXSKHLSKJ,无锡SK海力士厂房扩建,1382394698.0030723,1520727676.943792,216471092.8780345,238329007.42233202,1361802122.73,214314182.64999998
U_ORG_XM_ZZCNSQ,郑州智能骨干网航空港区三期,216399652.38983393,235875621.10236531,216020092.7644226,235461901.1106715,213768923.3477472,213394191.64774722
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,874988767.7930721,874988767.7930721,215903800.969854,215903800.969854,,
U_ORG_XM_NTJH,南通江海阿里云计算数据中心,215530406.7168309,234928143.32250637,215530406.7168309,234928143.32250637,213852082.86403674,213852082.86403674
U_ORG_XM_SZLDBDT,深圳礼鼎高端集成电路载板及先进封装基地,212183495.32829416,231280009.90869096,212183495.32829416,231280009.90869096,211128095.95999998,211128095.95999998
U_ORG_XM_CPXQGZ,北京大学昌平新校区宿舍楼装修改造,193048066.15325552,210449395.64043167,193018608.59231275,210417286.89900258,192187200.22999996,192157846.18999997
U_ORG_XM_SCGCCYY,四川国际创新设计产业园A地块,243545559.70744517,265464660.07982218,175729120.9693801,191544741.8557001,242756928.72477004,175160573.34477
U_ORG_XM_CDXDAZF,成都新都区成青苑及桂荷馨苑小区,598881787.2046617,657479604.1825342,174638637.82772538,190226703.60493618,553038276.3472488,161593110.44523114
U_ORG_XM_JXWLCC,嘉兴综合保税区物流仓储,216362797.81677288,235835449.61587757,171311675.07447684,186729725.82789975,195669633.17000005,155072618.37000003
